date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
1989-03-08,40.859375,41.015625,40.828125,40.984375
1989-03-09,40.9375,40.984375,40.890625,40.953125
1989-03-10,40.921875,40.96875,40.65625,40.671875
1989-03-13,40.65625,40.75,40.640625,40.6875
1989-03-14,40.65625,40.8125,40.65625,40.765625
1989-03-15,40.796875,40.890625,40.71875,40.765625
1989-03-16,40.75,40.890625,40.75,40.78125
1989-03-17,40.828125,40.859375,40.203125,40.296875
1989-03-20,40.328125,40.34375,40.15625,40.203125
1989-03-21,40.15625,40.28125,40.109375,40.15625
1989-03-22,40.21875,40.421875,40.171875,40.375
1989-03-23,40.40625,40.53125,40.34375,40.4375
1989-03-27,40.40625,40.4375,40.34375,40.421875
1989-03-28,40.40625,40.515625,40.40625,40.484375
1989-03-29,40.5625,40.65625,40.5,40.640625
1989-03-30,40.71875,40.8125,40.609375,40.6875
1989-03-31,40.703125,40.8125,40.65625,40.78125
1989-04-03,40.921875,41.21875,40.859375,41.015625
1989-04-04,41.046875,41.15625,40.984375,41.15625
1989-04-05,41.1875,41.234375,41.125,41.1875
1989-04-06,41.09375,41.15625,40.984375,41.046875
1989-04-07,41.03125,41.21875,40.828125,40.84375
1989-04-10,40.796875,40.875,40.78125,40.84375
1989-04-11,40.859375,40.90625,40.78125,40.8125
1989-04-12,40.8125,40.84375,40.734375,40.8125
1989-04-13,40.765625,40.796875,40.671875,40.6875
1989-04-14,40.671875,41.140625,40.65625,41.140625
1989-04-17,41.046875,41.109375,41.015625,41.046875
1989-04-18,41.03125,41.4375,41.015625,41.40625
1989-04-19,41.328125,41.453125,41.296875,41.359375
1989-04-20,41.421875,41.5,41.015625,41.046875
1989-04-21,41.140625,41.21875,41.0625,41.1875
1989-04-24,41.171875,41.265625,41.125,41.1875
1989-04-25,41.1875,41.328125,41.140625,41.265625
1989-04-26,41.390625,41.578125,41.265625,41.296875
1989-04-27,41.34375,41.5625,41.265625,41.46875
1989-04-28,41.59375,41.671875,41.46875,41.53125
1989-05-01,41.265625,41.40625,41.234375,41.25
1989-05-02,41.25,41.390625,41.21875,41.390625
1989-05-03,41.390625,41.5,41.328125,41.46875
1989-05-04,41.34375,41.453125,41.296875,41.4375
1989-05-05,41.40625,41.765625,41.390625,41.65625
1989-05-08,41.515625,41.625,41.453125,41.515625
1989-05-09,41.4375,41.515625,41.1875,41.203125
1989-05-10,41.171875,41.234375,41.03125,41.140625
1989-05-11,41.078125,41.3125,41.078125,41.265625
1989-05-12,41.390625,42.125,41.296875,42.078125
1989-05-15,42.140625,42.15625,41.984375,42.046875
1989-05-16,41.984375,42.0625,41.921875,42.0
1989-05-17,42.09375,42.359375,41.953125,42.09375
1989-05-18,42.0625,42.1875,41.984375,42.140625
1989-05-19,42.1875,42.4375,42.125,42.34375
1989-05-22,42.625,42.6875,42.328125,42.671875
1989-05-23,42.6875,42.734375,42.5,42.5625
1989-05-24,42.46875,42.734375,42.421875,42.515625
1989-05-25,42.421875,42.625,42.3125,42.40625
1989-05-26,42.28125,42.5,42.25,42.453125
1989-05-30,42.609375,42.65625,42.46875,42.484375
1989-05-31,42.46875,42.59375,42.375,42.578125
1989-06-01,42.59375,42.609375,42.453125,42.5625
1989-06-02,42.5625,43.03125,42.515625,43.015625
1989-06-05,43.109375,43.3125,43.09375,43.1875
1989-06-06,43.125,43.234375,43.09375,43.1875
1989-06-07,43.171875,43.453125,43.171875,43.390625
1989-06-08,43.453125,43.484375,43.328125,43.40625
1989-06-09,43.59375,43.796875,43.046875,43.75
1989-06-12,43.78125,44.03125,43.578125,43.640625
1989-06-13,43.453125,43.671875,43.203125,43.34375
1989-06-14,43.328125,43.578125,43.25,43.5625
1989-06-15,43.578125,43.78125,43.21875,43.25
1989-06-16,43.21875,43.265625,42.984375,43.15625
1989-06-19,43.1875,43.28125,43.09375,43.09375
1989-06-20,43.0,43.296875,43.0,43.265625
1989-06-21,43.234375,43.328125,43.09375,43.125
1989-06-22,43.125,43.15625,42.96875,42.96875
1989-06-23,43.078125,43.375,43.0,43.359375
1989-06-26,43.46875,43.625,43.359375,43.53125
1989-06-27,43.578125,43.734375,43.484375,43.6875
1989-06-28,43.6875,43.75,43.453125,43.546875
1989-06-29,43.4375,43.765625,43.421875,43.703125
1989-06-30,43.703125,43.90625,43.671875,43.796875
1989-07-03,43.71875,43.90625,43.71875,43.8125
1989-07-05,43.8125,43.84375,43.609375,43.78125
1989-07-06,43.84375,43.9375,43.765625,43.90625
1989-07-07,43.859375,44.234375,43.703125,44.0625
1989-07-10,44.046875,44.234375,44.046875,44.171875
1989-07-11,44.25,44.328125,44.125,44.15625
1989-07-12,44.125,44.234375,44.125,44.171875
1989-07-13,44.21875,44.296875,44.140625,44.1875
1989-07-14,44.125,44.296875,43.9375,44.078125
1989-07-17,43.984375,44.109375,43.984375,44.046875
1989-07-18,43.953125,44.0,43.796875,43.8125
1989-07-19,43.8125,44.0,43.75,43.984375
1989-07-20,44.09375,44.25,44.0,44.1875
1989-07-21,44.0625,44.125,43.921875,44.0
1989-07-24,43.96875,44.15625,43.9375,44.046875
1989-07-25,44.078125,44.171875,44.0625,44.171875
1989-07-26,44.171875,44.265625,44.09375,44.171875
1989-07-27,44.296875,44.5,44.171875,44.46875
1989-07-28,44.46875,44.6875,44.4375,44.625
1989-07-31,44.65625,44.796875,44.640625,44.78125
1989-08-01,44.96875,45.25,44.90625,44.984375
1989-08-02,44.921875,45.03125,44.75,44.859375
1989-08-03,44.890625,44.90625,44.71875,44.734375
1989-08-04,44.71875,44.8125,44.171875,44.1875
1989-08-07,44.203125,44.265625,43.96875,44.15625
1989-08-08,44.25,44.296875,44.140625,44.171875
