,"Fast LS(5,21)","Medium-Fast LS(10,63)","Medium LS(20,126)","Slow LS(20,252)"
1968-02-06,0.3910060590693934,0.996711733202268,1.0426353057727655,0.976887715403248
1968-02-07,0.3901395621745507,0.9946343501734087,1.04025257299238,0.9746069985106619
1968-02-08,0.3937145183481438,1.00333679051216,1.0446443441314814,0.9767967066685109
1968-02-09,0.39534939692087057,1.0080549398004983,1.0458780174447688,0.9767227502536968
1968-02-12,0.39459870204486414,1.0070327465585043,1.0458976483570286,0.9769789347367267
1968-02-13,0.3962222003709543,1.0093594118191884,1.0418522050835162,0.9718176166790748
1968-02-14,0.39329148032430533,1.0056929376533605,1.0401282586297549,0.9705991719454402
1968-02-15,0.39066958843747973,1.0015518674785386,1.03669383910553,0.967684077677329
1968-02-16,0.39146603785432943,1.0033793314238701,1.036378878794989,0.9670427761132265
1968-02-19,0.39049299501944246,1.0027043715430155,1.0377222804937172,0.9692687105725922
1968-02-20,0.3885324852317529,1.0014275043137213,1.0390228263158294,0.970849770692582
1968-02-21,0.38604672889266833,0.9990746606367281,1.0400401626762454,0.9723254007476455
1968-02-22,0.3858890881801426,1.0005897319766406,1.0410038446870673,0.9729094839821741
1968-02-23,0.38554139634366896,1.0007198987383321,1.0438910956012806,0.9763955350900066
1968-02-26,0.3874625093025897,1.0101240224869852,1.05255291122939,0.9826178728648346
1968-02-27,0.38648298694805483,1.0089279171319856,1.052832374037204,0.9833730513561615
1968-02-28,0.3857312429764726,1.0097393572282871,1.0537295994580065,0.9839118839588582
1968-02-29,0.3858352873209087,1.012215270017896,1.0549918723658867,0.9842825940504762
1968-03-01,0.38351763434160663,1.010582873338074,1.0526912183788348,0.9813206491645374
1968-03-04,0.3857695787082727,1.0180022149410175,1.0578593903616855,0.9843782823739634
1968-03-05,0.3856128532098932,1.0187367849091213,1.0593188076856737,0.9859223575429523
1968-03-06,0.38308798834369423,1.0130307220907198,1.0574043824771282,0.9863214330762835
1968-03-07,0.3862793320556048,1.0211958667975847,1.0674582867543507,0.9954947776828161
1968-03-08,0.3888320011885428,1.0275568818958452,1.0763505180263246,1.0034166741015456
1968-03-11,0.3865037714882076,1.022333767815904,1.0752563878152517,1.0050888836203649
1968-03-12,0.3882485562621228,1.0254535601425085,1.0796064765159765,1.0093744540228242
1968-03-13,0.39263850481254403,1.0332071055116192,1.0869870356457458,1.0156235386075012
1968-03-14,0.40002636048833357,1.0496141513485666,1.102754451849445,1.0278325236726304
1968-03-15,0.3921185290044246,1.0337648403554913,1.0881268119019905,1.0158598545732522
1968-03-18,0.385914523671829,1.0232067438441341,1.0798573623393903,1.0099211495332514
1968-03-19,0.3861523282642096,1.024979868464074,1.0825184547648699,1.0124252649988938
1968-03-20,0.38326831802163275,1.019741099416028,1.0778201358403368,1.0082986102758662
1968-03-21,0.3844783009623781,1.0229587207384025,1.0820898909277363,1.0127178019706187
1968-03-22,0.38170078979292593,1.0181070768391807,1.0780073004700095,1.009632225662375
1968-03-25,0.3830048981852506,1.0198865901316605,1.08094560531395,1.0137002690110843
