,"Ultra-Slow LS(20,504)"
1992-04-21,3.3570652456422247
1992-04-22,3.3867278276684334
1992-04-23,3.360539547857557
1992-04-24,3.393624942541827
1992-04-27,3.384442903973199
1992-04-28,3.3710837377079517
1992-04-29,3.3994054417219974
1992-04-30,3.402369874759866
1992-05-01,3.4162466694344125
1992-05-04,3.4199393100106596
1992-05-05,3.4220826724717526
1992-05-06,3.429199884323095
1992-05-07,3.426936689559887
1992-05-08,3.433921310886269
1992-05-11,3.4234675385428224
1992-05-12,3.4265249129811126
1992-05-13,3.4310008210682215
1992-05-14,3.4251736458883357
1992-05-15,3.42429054458423
1992-05-18,3.430334723474469
1992-05-19,3.4464004057343645
1992-05-20,3.4460498765191963
1992-05-21,3.441326967655959
1992-05-22,3.4477712744239266
1992-05-25,3.447570742308011
1992-05-26,3.4447984226793267
1992-05-27,3.444223207632288
1992-05-28,3.459218241813885
1992-05-29,3.4984706517151762
1992-06-01,3.4827762266239835
1992-06-02,3.4869849012409495
1992-06-03,3.503826310987278
1992-06-04,3.516694921291463
1992-06-05,3.542666354315939
1992-06-08,3.5327887417318062
1992-06-09,3.5183099510603943
1992-06-10,3.527350669125332
1992-06-11,3.539945828589555
1992-06-12,3.5569677338028196
1992-06-15,3.5716769072961925
1992-06-16,3.5763811422188323
1992-06-17,3.5809063670095536
1992-06-18,3.6029622304433775
1992-06-19,3.5997178175131075
1992-06-22,3.6044241795310437
1992-06-23,3.612620222375511
1992-06-24,3.6565891379154873
1992-06-25,3.6777934766949754
1992-06-26,3.668219208591848
1992-06-29,3.665186110071733
1992-06-30,3.6439673482733053
1992-07-01,3.640535904569416
1992-07-02,3.6775030101682904
1992-07-03,3.679509667000111
1992-07-06,3.6902961467164563
1992-07-07,3.7115264443290887
1992-07-08,3.6904166638975475
1992-07-09,3.6714583304251707
1992-07-10,3.6694182594456075
1992-07-13,3.6818914395059044
1992-07-14,3.6887209987383294
1992-07-15,3.7025677385376925
1992-07-16,3.7246357041582385
1992-07-17,3.7452315516378096
1992-07-20,3.7464693056435054
1992-07-21,3.738503194876458
1992-07-22,3.749920369830181
1992-07-23,3.7743854092592937
1992-07-24,3.764931077161789
1992-07-27,3.787180443132427
1992-07-28,3.8116633773740602
1992-07-29,3.8195786587323735
1992-07-30,3.794407092316385
1992-07-31,3.7991241946893597
1992-08-03,3.796610160880377
1992-08-04,3.800650207746513
1992-08-05,3.8060688903102955
1992-08-06,3.8134912579853038
1992-08-07,3.843095759880369
1992-08-10,3.873776197690767
1992-08-11,3.8851357064244163
1992-08-12,3.900434671802126
1992-08-13,3.868370644333743
1992-08-14,3.8717411918830056
1992-08-17,3.8765072326804413
1992-08-18,3.9070577827431467
1992-08-19,3.912817995189342
1992-08-20,3.902928660295167
1992-08-21,3.863579168303389
1992-08-24,3.853572483465811
1992-08-25,3.848023519024399
1992-08-26,3.858319126705232
1992-08-27,3.8477390195920145
1992-08-28,3.8552257145647837
1992-08-31,3.842993969994866
1992-09-01,3.883630662767371
1992-09-02,3.8888470884711523
1992-09-03,3.8474977186798025
1992-09-04,3.8774107347136284
1992-09-07,3.8894009054487566
1992-09-08,3.917312543470328
1992-09-09,3.899713790359736
1992-09-10,3.8899443671756835
1992-09-11,3.85828260015583
1992-09-14,3.830799737053567
1992-09-15,3.7971261359775244
1992-09-16,3.751306582717873
1992-09-17,3.7570688314523775
1992-09-18,3.743637303423553
1992-09-21,3.7276277804567157
1992-09-22,3.7156968871495697
1992-09-23,3.714484540623549
1992-09-24,3.7314567202060624
1992-09-25,3.767693940082672
1992-09-28,3.8020338908557547
1992-09-29,3.813372128354021
1992-09-30,3.8140924526988442
1992-10-01,3.8412262941416033
1992-10-02,3.8584332050472736
1992-10-05,3.8635311420215275
1992-10-06,3.8402433585792397
1992-10-07,3.797336982634139
1992-10-08,3.7974479725398407
1992-10-09,3.778125224124017
1992-10-12,3.7811458936727855
1992-10-13,3.771350532938865
1992-10-14,3.780261780216317
1992-10-15,3.791169546468155
1992-10-16,3.7866260103588645
1992-10-19,3.771752558241844
1992-10-20,3.6901180085999283
1992-10-21,3.6969838998936377
1992-10-22,3.6935162931956973
1992-10-23,3.6733859232303483
1992-10-26,3.6729732980063674
1992-10-27,3.673347247843909
1992-10-28,3.6639526993541
1992-10-29,3.668855430072925
1992-10-30,3.6604650626248705
1992-11-02,3.6275841642625077
1992-11-03,3.6238993911790054
1992-11-04,3.63234165651246
1992-11-05,3.6232416048375473
1992-11-06,3.5926803021491422
1992-11-09,3.6217207145831685
1992-11-10,3.6277894309489365
1992-11-11,3.6419393341626236
1992-11-12,3.641546810993794
