,Balanced,CTA 1,CTA 2,CTA 3,CTA 4,CTA 5,LS 1,LS 2,LS 3,LS 4,LS 5,QIS 1,QIS 2,QIS 3,QIS 4,QIS 5
2020-09-30,-0.0185175696502174,-0.008778287112354,-0.0329594751073382,-0.0231988523173879,-0.0063383250034548,-0.010971372126198,0.0203389091669743,0.0027192315070962,0.0055137660046975,-0.0426852712620948,-0.0109955875702135,0.005537464765114,0.0048415009929506,0.0021307024876301,-0.0311758851810118,-0.011557278375471
2020-10-31,-0.0147724208627409,0.0011648294854667,-0.018232995741129,0.0014466959659704,-0.0074140862006985,-0.0019241292855407,0.0116486255460137,0.0028595284360644,0.0046320116608609,-0.0097484782134833,-0.0256991020137056,0.0050536147775078,0.0195728506859053,-0.018701084229024,0.0068685215151588,0.0067598684838384
2020-11-30,0.0742768357556027,-0.0278060467265172,0.0153214387726134,-0.0019664423102339,0.0102389002551865,-0.0131310343446411,-0.0286359922149828,0.0217622653750726,0.0250551194776906,0.0631937749166835,0.0281020325241796,-0.0410947678804722,-0.0457442758343582,-0.0113409397725481,-0.0307743931764555,-0.0034024061959978
2020-12-31,0.0305110967747721,0.0257071122150556,0.0726604117911631,0.0332150086919837,0.0251598928185554,0.0684385075482105,0.0149478952853767,0.0297477465603055,0.0059171132430135,0.0636156983105336,0.0141617382993748,-0.0014695103550367,0.0011052489228585,-0.0030688001631693,0.0074296569475349,-0.000460376240958
2021-01-31,-0.0041529940759362,0.0051130073446734,-0.0347594110652472,-0.0095347911404009,-0.00314796298902,-0.0136153088797819,0.0489743095041432,-0.0064294356324331,0.0072933507528161,0.0075683935998318,-0.0558325059153033,0.0315601018919138,0.0328257337110593,-0.0018661839670849,0.0203735368817714,0.0002881759888867
2021-02-28,0.011887282990056,0.040398211367205,0.0288631764806217,0.0258941626936797,-0.0009648621939299,0.008628765904677,-0.0034376601359976,0.0188063079814655,0.0017780046086599,0.0697941169208453,0.0482413236649024,-0.0189675138660959,-0.0191471203109212,-0.0089009128724038,-0.0198158592498604,0.0011285692026936
2021-03-31,0.0177116670105943,-0.0041690103748801,0.0296207255011924,-0.0017373081927528,0.0020651918907637,0.0328735483159228,0.0523734196386209,-1.6761239931994965e-05,0.0075118803312628,0.0471759885390246,0.0221704703661371,-0.0427908417730279,-0.0507081506174073,-0.0007042491306069,-0.0350056046262696,-0.0006080683649824
2021-04-30,0.0282924529730075,0.0077344670563703,0.0178676154223473,0.0286557259016331,-0.0120743028224631,0.0243415115498026,0.0210455644146927,0.0165326499116686,0.0147733205925477,0.0318643453301956,0.0438223905697152,-0.0025331512105316,-0.0069065624726054,-0.0068011171772976,0.0009258565383913,-0.0010806443265007
2021-05-31,0.0114036059094495,0.0112278150896505,0.024823256202467,0.007316618427329,0.0206431771048722,0.0284597890987767,0.0273510075230785,-0.0022425423132885,0.0036791616897176,0.0488365066435454,-0.0031329159064732,-0.0163759915841254,-0.0066332717271441,-0.0040626403025462,-0.0117206391888344,-4.615058253548454e-05
2021-06-30,0.0086858853154001,-0.03421386560222,-0.0138459585797017,-0.0179662517584692,-0.0171097836021287,-0.0352704667840736,-0.0050524799941901,0.0014326216664091,-0.0032895404422449,-0.0191823219440915,0.0053182349707097,-0.0097035162916602,-0.014251857187091,-0.0022095271005506,-0.003884324931728,0.0002192488890172
2021-07-31,0.009272441525794,-0.0313037021063166,0.0136904697319066,-0.0057399062341462,-0.0229592491084965,0.0017280310552831,-0.0116797932803919,-0.0006941156261928,-0.0167561271645536,-0.018129838174976,0.0099603022385048,0.0065634020466012,0.0052382462268556,-0.0009126520324687,0.0017133204780295,-0.0036668626265804
